country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;iso3c
Argentina;33;33;33;33;33;33;33;33,0;33,0;33;20,00;20,00;20,00;30,00;30;30;30;33;35;35;35;35;35;35,0;35,0;35,0;35,0;35;35;35;35,0;35;35;35;35;35,0;35;41,5;41,5;ARG
Bolivia;30;30;30;30;30;30;30;NA;NA;NA;NA;NA;NA;NA;25;25;25;25;25;25;25;25;25;25,0;25,0;25,0;25,0;25;25;25;25,0;25;25;25;25;25,0;25;25,0;25,0;BOL
Brasil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50,00;50,00;45,00;45;53;33;33;33;37;34;34;34;34,0;34,0;34,0;34,0;34;34;34;34,0;34;34;34;34;34,0;34;34,0;34,0;BRA
Chile;10;10;10;10;10;10;10;10,0;10,0;10;10,00;15,00;15,00;15,00;15;15;15;15;15;15;15;15;16;16,5;17,0;17,0;17,0;17;17;17;17,0;20;20;20;20;22,5;24;25,0;25,0;CHL
Colombia;40;40;40;40;40;40;33;32,0;31,0;30;30,00;30,00;30,00;30,00;30;30;35;35;35;35;35;35;35;38,5;38,5;38,5;38,5;34;33;33;33,0;33;33;34;34;39,0;40;40,0;37,0;COL
Costa Rica;45;45;50;50;50;50;50;50,0;50,0;30;30,00;30,00;30,00;30,00;30;30;30;30;30;30;30;30;30;30,0;30,0;30,0;30,0;30;30;30;30,0;30;30;30;30;30,0;30;30,0;30,0;CRI
Ecuador;20;20;20;20;20;20;20;20,0;20,0;20;25,00;25,00;25,00;25,00;25;25;25;25;25;25;25;25;25;25,0;25,0;25,0;25,0;25;25;25;25,0;24;23;22;22;25,0;25;25,0;28,0;ECU
El Salvador;30;30;30;30;30;30;30;35,0;35,0;35;30,00;30,00;25,00;25,00;25;25;25;25;25;25;25;25;25;25,0;25,0;25,0;25,0;25;25;25;25,0;25;30;30;30;30,0;30;30,0;30,0;SLV
Guatemala;48;48;48;48;42;42;45;45,0;34,0;34;34,00;34,00;34,00;25,00;25;30;30;30;25;25;25;31;31;31,0;31,0;31,0;31,0;31;31;31;31,0;31;31;31;28;25,0;25;25,0;25,0;GTM
Honduras;40;40;40;40;40;40;40;40,0;40,0;40;40,25;40,25;40,25;40,25;35;35;35;35;30;25;25;25;25;30,0;30,0;30,0;30,0;30;30;30;35,0;35;31;30;30;30,0;30;30,0;30,0;HND
México;42;42;42;42;42;42;42;40,6;39,2;37;36,00;35,00;35,00;34,80;34;34;34;34;34;35;35;35;35;34,0;33,0;30,0;29,0;28;28;28;30,0;30;30;30;30;30,0;30;30,0;30,0;MEX
Nicaragua;50;50;40;40;40;40;40;40,0;40,0;40;38,50;35,50;35,50;30,00;30;30;30;30;30;30;25;25;25;25,0;30,0;30,0;30,0;30;30;30;30,0;30;30;30;30;30,0;30;30,0;30,0;NIC
Panamá;50;50;50;50;50;50;50;50,0;50,0;50;50,00;47,50;45,00;42,00;34;34;34;30;30;30;30;30;30;30,0;30,0;30,0;30,0;30;30;30;27,5;25;25;25;25;25,0;25;25,0;25,0;PAN
Paraguay;30;30;30;30;30;30;30;30,0;30,0;30;30,00;30,00;30,00;30,00;30;30;30;30;30;30;30;30;30;30,0;30,0;20,0;10,0;10;10;10;10,0;10;10;10;10;10,0;10;10,0;10,0;PRY
Perú;55;55;55;57;55;55;40;35,0;35,0;35;35,00;30,00;30,00;30,00;30;30;30;30;30;30;30;30;27;27,0;30,0;30,0;30,0;30;30;30;30,0;30;30;30;30;28,0;28;28,0;29,5;PER
Rep. Dominicana;38;38;38;38;46;46;46;46,0;46,0;46;46,00;46,00;30,00;27,00;26;25;25;25;25;25;25;25;25;25,0;25,0;25,0;30,0;25;25;25;25,0;29;29;29;28;27,0;27;27,0;27,0;DOM
Uruguay;25;25;30;30;30;30;30;30,0;30,0;30;40,00;30,00;30,00;30,00;30;30;30;30;30;30;30;30;35;35,0;35,0;30,0;30,0;30;25;25;25,0;25;25;25;25;25,0;25;25,0;25,0;URY
Venezuela;50;50;50;50;50;50;50;50,0;50,0;50;50,00;50,00;30,00;30,00;30;34;34;34;34;34;34;34;34;34,0;34,0;34,0;34,0;34;34;34;34,0;34;34;34;34;34,0;34;34,0;34,0;VEN
