"";"country";"iso3c";"SEZno";"FPno";"FirstYear";"CIATrate2018";"KPMGrate2018"
"1";"Antigua and Barbuda";"ATG";2;NA;1994-01-01;NA;25
"2";"Argentina";"ARG";14;0;1994-01-01;41,5;30
"3";"Aruba";"ABW";2;NA;NA;NA;25
"4";"Bahamas, The";"BHS";6;NA;1955-01-01;NA;0
"5";"Barbados";"BRB";0;NA;NA;NA;30
"6";"Belize";"BLZ";4;NA;1990-01-01;NA;NA
"7";"Bolivia";"BOL";7;0;1990-01-01;25;25
"8";"Brazil";"BRA";32;0;1957-01-01;34;34
"9";"British Virgin Islands";"VGB";NA;NA;NA;NA;NA
"10";"Cayman Islands";"CYM";6;0;2011-01-01;NA;0
"11";"Chile";"CHL";4;0;1975-01-01;25;26
"12";"Colombia";"COL";39;72;1958-01-01;37;33
"13";"Costa Rica";"CRI";49;82;1990-01-01;30;30
"14";"Cuba";"CUB";1;0;1996-01-01;NA;NA
"15";"Curaçao";"CUW";2;0;NA;NA;22
"16";"Dominica";"DMA";NA;NA;NA;NA;25
"17";"Dominican Republic";"DOM";73;144;1968-01-01;27;27
"18";"Ecuador";"ECU";12;0;1991-01-01;28;25
"19";"El Salvador";"SLV";17;0;1990-01-01;30;30
"20";"Grenada";"GRD";0;NA;1974-01-01;NA;30
"21";"Guatemala";"GTM";18;NA;1976-01-01;25;25
"22";"Guyana";"GUY";0;NA;NA;NA;NA
"23";"Haiti";"HTI";13;0;1976-01-01;NA;NA
"24";"Honduras";"HND";39;0;1976-01-01;30;25
"25";"Jamaica";"JAM";17;38;1976-01-01;NA;25
"26";"Mexico";"MEX";17;NA;1965-01-01;30;30
"27";"Nicaragua";"NIC";52;0;1976-01-01;30;30
"28";"Panama";"PAN";15;0;1948-01-01;25;25
"29";"Paraguay";"PRY";2;108;1995-01-01;10;10
"30";"Peru";"PER";4;0;1989-01-01;29,5;29,5
"31";"Puerto Rico";"PRI";NA;NA;NA;NA;NA
"32";"Sint Maarten (Dutch part)";"SXM";NA;NA;NA;NA;35
"33";"Sint Maarten (Dutch part)";"SXM";NA;NA;NA;NA;35
"34";"St. Kitts and Nevis";"KNA";NA;NA;NA;NA;33
"35";"St. Lucia";"LCA";1;2;1983-01-01;NA;30
"36";"St. Martin (French part)";"MAF";NA;NA;NA;NA;NA
"37";"St. Vincent and the Grenadines";"VCT";0;NA;NA;NA;33
"38";"Suriname";"SUR";NA;NA;NA;NA;36
"39";"Trinidad and Tobago";"TTO";1;17;1988-01-01;NA;25
"40";"Turks and Caicos Islands";"TCA";NA;NA;NA;NA;0
"41";"Uruguay";"URY";23;0;1923-01-01;25;25
"42";"Venezuela, RB";"VEN";14;0;1991-01-01;34;34
"43";"Virgin Islands (U.S.)";"VIR";NA;NA;NA;NA;NA
